GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0400000US47,47,Tennessee,6346105,6346298,6356671,6397634,6454306,6494821,6544663,6595056,6651194
0500000US47001,47001,"Anderson County, Tennessee",75129,75094,75126,75179,75326,75420,75347,75698,75936
0500000US47003,47003,"Bedford County, Tennessee",45058,45056,45100,45271,45307,45638,46284,46940,47484
0500000US47005,47005,"Benton County, Tennessee",16489,16491,16493,16423,16354,16280,16109,16107,16014
0500000US47007,47007,"Bledsoe County, Tennessee",12876,12872,12874,12847,12791,13785,14535,14580,14675
0500000US47009,47009,"Blount County, Tennessee",123010,123100,123241,123704,124069,124985,126092,127142,128670
0500000US47011,47011,"Bradley County, Tennessee",98963,98932,99126,99883,101101,101881,102921,103907,104490
0500000US47013,47013,"Campbell County, Tennessee",40716,40723,40722,40579,40460,40229,39909,39728,39714
0500000US47015,47015,"Cannon County, Tennessee",13801,13816,13814,13764,13868,13800,13725,13854,14027
0500000US47017,47017,"Carroll County, Tennessee",28522,28480,28445,28533,28707,28685,28471,28131,28092
0500000US47019,47019,"Carter County, Tennessee",57424,57375,57313,57434,57309,56982,56312,56430,56502
0500000US47021,47021,"Cheatham County, Tennessee",39105,39103,39115,38986,39245,39387,39674,39690,39880
0500000US47023,47023,"Chester County, Tennessee",17131,17143,17184,17222,17213,17340,17358,17413,17453
0500000US47025,47025,"Claiborne County, Tennessee",32213,32212,32234,32088,31770,31661,31630,31687,31757
0500000US47027,47027,"Clay County, Tennessee",7861,7860,7843,7827,7801,7784,7733,7773,7752
0500000US47029,47029,"Cocke County, Tennessee",35662,35642,35644,35372,35450,35287,35230,35096,35219
0500000US47031,47031,"Coffee County, Tennessee",52796,52800,52783,52882,53132,53324,53623,54279,54682
0500000US47033,47033,"Crockett County, Tennessee",14586,14576,14574,14550,14607,14590,14614,14566,14411
0500000US47035,47035,"Cumberland County, Tennessee",56053,56062,56210,56620,57073,57513,57958,58278,58655
0500000US47037,47037,"Davidson County, Tennessee",626681,626580,628077,635503,649004,658990,668699,678323,684410
0500000US47039,47039,"Decatur County, Tennessee",11757,11750,11729,11684,11660,11697,11733,11657,11769
0500000US47041,47041,"DeKalb County, Tennessee",18723,18720,18716,18794,18911,19108,19211,19205,19361
0500000US47043,47043,"Dickson County, Tennessee",49666,49658,49701,49946,50177,50211,50609,51461,52170
0500000US47045,47045,"Dyer County, Tennessee",38335,38330,38313,38148,38246,38148,37868,37878,37708
0500000US47047,47047,"Fayette County, Tennessee",38413,38439,38435,38569,38662,38810,39072,39220,39590
0500000US47049,47049,"Fentress County, Tennessee",17959,17960,17928,18026,17924,17937,17867,17917,18033
0500000US47051,47051,"Franklin County, Tennessee",41052,41064,40970,40862,40786,41313,41428,41514,41700
0500000US47053,47053,"Gibson County, Tennessee",49683,49691,49732,49873,49689,49483,49541,49442,49401
0500000US47055,47055,"Giles County, Tennessee",29485,29489,29401,29337,29006,28859,28917,29079,29307
0500000US47057,47057,"Grainger County, Tennessee",22657,22656,22714,22733,22649,22681,22830,22835,23072
0500000US47059,47059,"Greene County, Tennessee",68831,68825,68826,68996,68654,68272,68416,68551,68615
0500000US47061,47061,"Grundy County, Tennessee",13703,13726,13738,13657,13653,13509,13464,13456,13389
0500000US47063,47063,"Hamblen County, Tennessee",62544,62533,62550,62816,62712,63082,63022,63414,63785
0500000US47065,47065,"Hamilton County, Tennessee",336463,336484,337332,340939,345783,348853,350545,353604,357738
