GEO.id,GEO.id2,GEO.display-label,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016,popchg20152016,natinc20152016,births20152016,deaths20152016,netmig20152016,intlmig20152016,dommig20152016
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Domestic"
0400000US47,47,Tennessee,304896,110000,502451,392451,191384,55613,135771,56138,15989,81443,65454,39959,9440,30519
0500000US47001,47001,"Anderson County, Tennessee",842,-689,5010,5699,1580,364,1216,238,-90,802,892,322,65,257
0500000US47003,47003,"Bedford County, Tennessee",2428,1056,3856,2800,1323,242,1081,544,184,628,444,369,30,339
0500000US47005,47005,"Benton County, Tennessee",-477,-511,994,1505,34,7,27,-93,-90,156,246,-18,1,-19
0500000US47007,47007,"Bledsoe County, Tennessee",1803,-53,767,820,1723,-2,1725,95,-18,132,150,123,0,123
0500000US47009,47009,"Blount County, Tennessee",5570,-90,7993,8083,5361,431,4930,1528,-10,1284,1294,1507,71,1436
0500000US47011,47011,"Bradley County, Tennessee",5558,1269,7361,6092,4131,793,3338,583,152,1181,1029,426,151,275
0500000US47013,47013,"Campbell County, Tennessee",-1009,-748,2629,3377,-194,-32,-162,-14,-149,426,575,164,-6,170
0500000US47015,47015,"Cannon County, Tennessee",211,-146,914,1060,344,67,277,173,-2,154,156,177,13,164
