year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_denominator,analysis_value
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,All,"undefined",40470
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,All,"undefined",36615
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,All,"undefined",46509
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,All,"undefined",42949
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,All,"undefined",50067
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,All,"undefined",49516
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,All,"undefined",46819
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,All,"undefined",35022
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,All,"undefined",45298
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,All,"undefined",54992
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1023,Choctaw County,ALABAMA,Rural,All,"undefined",41084
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1025,Clarke County,ALABAMA,Rural,All,"undefined",41589
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1027,Clay County,ALABAMA,Rural,All,"undefined",48361
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1029,Cleburne County,ALABAMA,Rural,All,"undefined",44305
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,All,"undefined",45244
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,All,"undefined",41269
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1035,Conecuh County,ALABAMA,Rural,All,"undefined",33843
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1037,Coosa County,ALABAMA,Rural,All,"undefined",58338
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1039,Covington County,ALABAMA,Rural,All,"undefined",42454
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1041,Crenshaw County,ALABAMA,Rural,All,"undefined",34674
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,All,"undefined",42324
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,All,"undefined",48443
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1047,Dallas County,ALABAMA,Rural,All,"undefined",45739
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,All,"undefined",44107
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,All,"undefined",47476
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,All,"undefined",38137
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,All,"undefined",54778
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1057,Fayette County,ALABAMA,Rural,All,"undefined",46279
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1059,Franklin County,ALABAMA,Rural,All,"undefined",50988
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1061,Geneva County,ALABAMA,Urban,All,"undefined",47426
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1063,Greene County,ALABAMA,Urban,All,"undefined",54182
2017,County,Average total cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1065,Hale County,ALABAMA,Urban,All,"undefined",46580
